row,Equivalence Set 1 v1.0.0 (cvss),Equivalence Set 2 v1.0.0 (cvss),Equivalence Set 3 v1.0.0 (cvss),Equivalence Set 4 v1.0.0 (cvss),Equivalence Set 5 v1.0.0 (cvss),Equivalence Set 6 v1.0.0 (cvss),CVSS Qualitative Severity Rating Scale v1.0.0 (cvss)
0,low,low,low,low,low,low,low
1,medium,low,low,low,low,low,low
2,low,high,low,low,low,low,low
3,low,low,medium,low,low,low,low
4,low,low,low,medium,low,low,low
5,low,low,low,low,medium,low,low
6,low,low,low,low,low,high,low
7,high,low,low,low,low,low,low
8,medium,high,low,low,low,low,low
9,medium,low,medium,low,low,low,low
10,low,high,medium,low,low,low,low
11,low,low,high,low,low,low,low
12,medium,low,low,medium,low,low,low
13,low,high,low,medium,low,low,low
14,low,low,medium,medium,low,low,low
15,low,low,low,high,low,low,low
16,medium,low,low,low,medium,low,low
17,low,high,low,low,medium,low,low
18,low,low,medium,low,medium,low,low
19,low,low,low,medium,medium,low,low
20,low,low,low,low,high,low,low
21,medium,low,low,low,low,high,low
22,low,high,low,low,low,high,low
23,low,low,medium,low,low,high,low
24,low,low,low,medium,low,high,low
25,low,low,low,low,medium,high,low
26,high,high,low,low,low,low,low
27,high,low,medium,low,low,low,low
28,medium,high,medium,low,low,low,low
29,medium,low,high,low,low,low,low
30,low,high,high,low,low,low,low
31,high,low,low,medium,low,low,low
32,medium,high,low,medium,low,low,low
33,medium,low,medium,medium,low,low,low
34,low,high,medium,medium,low,low,low
35,low,low,high,medium,low,low,low
36,medium,low,low,high,low,low,low
37,low,high,low,high,low,low,low
38,low,low,medium,high,low,low,low
39,high,low,low,low,medium,low,low
40,medium,high,low,low,medium,low,low
41,medium,low,medium,low,medium,low,low
42,low,high,medium,low,medium,low,low
43,low,low,high,low,medium,low,low
44,medium,low,low,medium,medium,low,low
45,low,high,low,medium,medium,low,low
46,low,low,medium,medium,medium,low,low
47,low,low,low,high,medium,low,low
48,medium,low,low,low,high,low,low
49,low,high,low,low,high,low,low
50,low,low,medium,low,high,low,low
51,low,low,low,medium,high,low,low
52,high,low,low,low,low,high,low
53,medium,high,low,low,low,high,low
54,medium,low,medium,low,low,high,low
55,low,high,medium,low,low,high,low
56,low,low,high,low,low,high,low
57,medium,low,low,medium,low,high,low
58,low,high,low,medium,low,high,low
59,low,low,medium,medium,low,high,low
60,low,low,low,high,low,high,low
61,medium,low,low,low,medium,high,low
62,low,high,low,low,medium,high,low
63,low,low,medium,low,medium,high,low
64,low,low,low,medium,medium,high,low
65,low,low,low,low,high,high,low
66,high,high,medium,low,low,low,medium
67,high,low,high,low,low,low,medium
68,medium,high,high,low,low,low,medium
69,high,high,low,medium,low,low,medium
70,high,low,medium,medium,low,low,medium
71,medium,high,medium,medium,low,low,medium
72,medium,low,high,medium,low,low,medium
73,low,high,high,medium,low,low,low
74,high,low,low,high,low,low,medium
75,medium,high,low,high,low,low,medium
76,medium,low,medium,high,low,low,medium
77,low,high,medium,high,low,low,medium
78,low,low,high,high,low,low,medium
79,high,high,low,low,medium,low,medium
80,high,low,medium,low,medium,low,medium
81,medium,high,medium,low,medium,low,medium
82,medium,low,high,low,medium,low,medium
83,low,high,high,low,medium,low,medium
84,high,low,low,medium,medium,low,medium
85,medium,high,low,medium,medium,low,medium
86,medium,low,medium,medium,medium,low,medium
87,low,high,medium,medium,medium,low,medium
88,low,low,high,medium,medium,low,medium
89,medium,low,low,high,medium,low,medium
90,low,high,low,high,medium,low,medium
91,low,low,medium,high,medium,low,medium
92,high,low,low,low,high,low,medium
93,medium,high,low,low,high,low,medium
94,medium,low,medium,low,high,low,medium
95,low,high,medium,low,high,low,low
96,low,low,high,low,high,low,medium
97,medium,low,low,medium,high,low,medium
98,low,high,low,medium,high,low,medium
99,low,low,medium,medium,high,low,medium
100,low,low,low,high,high,low,medium
101,high,high,low,low,low,high,low
102,high,low,medium,low,low,high,medium
103,medium,high,medium,low,low,high,medium
104,medium,low,high,low,low,high,medium
105,low,high,high,low,low,high,medium
106,high,low,low,medium,low,high,low
107,medium,high,low,medium,low,high,low
108,medium,low,medium,medium,low,high,medium
109,low,high,medium,medium,low,high,medium
110,low,low,high,medium,low,high,medium
111,medium,low,low,high,low,high,low
112,low,high,low,high,low,high,low
113,low,low,medium,high,low,high,medium
114,high,low,low,low,medium,high,low
115,medium,high,low,low,medium,high,low
116,medium,low,medium,low,medium,high,medium
117,low,high,medium,low,medium,high,low
118,low,low,high,low,medium,high,medium
119,medium,low,low,medium,medium,high,low
120,low,high,low,medium,medium,high,low
121,low,low,medium,medium,medium,high,medium
122,low,low,low,high,medium,high,low
123,medium,low,low,low,high,high,low
124,low,high,low,low,high,high,low
125,low,low,medium,low,high,high,medium
126,low,low,low,medium,high,high,low
127,high,high,high,low,low,low,medium
128,high,high,medium,medium,low,low,medium
129,high,low,high,medium,low,low,high
130,medium,high,high,medium,low,low,medium
131,high,high,low,high,low,low,high
132,high,low,medium,high,low,low,high
133,medium,high,medium,high,low,low,medium
134,medium,low,high,high,low,low,high
135,low,high,high,high,low,low,medium
136,high,high,medium,low,medium,low,high
137,high,low,high,low,medium,low,high
138,medium,high,high,low,medium,low,medium
139,high,high,low,medium,medium,low,medium
140,high,low,medium,medium,medium,low,high
141,medium,high,medium,medium,medium,low,medium
142,medium,low,high,medium,medium,low,medium
143,low,high,high,medium,medium,low,medium
144,high,low,low,high,medium,low,high
145,medium,high,low,high,medium,low,high
146,medium,low,medium,high,medium,low,medium
147,low,high,medium,high,medium,low,medium
148,low,low,high,high,medium,low,medium
149,high,high,low,low,high,low,medium
150,high,low,medium,low,high,low,high
151,medium,high,medium,low,high,low,medium
152,medium,low,high,low,high,low,medium
153,low,high,high,low,high,low,medium
154,high,low,low,medium,high,low,high
155,medium,high,low,medium,high,low,medium
156,medium,low,medium,medium,high,low,medium
157,low,high,medium,medium,high,low,medium
158,low,low,high,medium,high,low,medium
159,medium,low,low,high,high,low,high
160,low,high,low,high,high,low,medium
161,low,low,medium,high,high,low,medium
162,high,high,medium,low,low,high,medium
163,high,low,high,low,low,high,high
164,medium,high,high,low,low,high,medium
165,high,high,low,medium,low,high,medium
166,high,low,medium,medium,low,high,high
167,medium,high,medium,medium,low,high,medium
168,medium,low,high,medium,low,high,medium
169,low,high,high,medium,low,high,medium
170,high,low,low,high,low,high,medium
171,medium,high,low,high,low,high,medium
172,medium,low,medium,high,low,high,medium
173,low,high,medium,high,low,high,medium
174,low,low,high,high,low,high,medium
175,high,high,low,low,medium,high,medium
176,high,low,medium,low,medium,high,high
177,medium,high,medium,low,medium,high,medium
178,medium,low,high,low,medium,high,medium
179,low,high,high,low,medium,high,medium
180,high,low,low,medium,medium,high,medium
181,medium,high,low,medium,medium,high,medium
182,medium,low,medium,medium,medium,high,medium
183,low,high,medium,medium,medium,high,medium
184,low,low,high,medium,medium,high,medium
185,medium,low,low,high,medium,high,medium
186,low,high,low,high,medium,high,medium
187,low,low,medium,high,medium,high,medium
188,high,low,low,low,high,high,medium
189,medium,high,low,low,high,high,medium
190,medium,low,medium,low,high,high,medium
191,low,high,medium,low,high,high,medium
192,low,low,high,low,high,high,medium
193,medium,low,low,medium,high,high,medium
194,low,high,low,medium,high,high,medium
195,low,low,medium,medium,high,high,medium
196,low,low,low,high,high,high,medium
197,high,high,high,medium,low,low,high
198,high,high,medium,high,low,low,high
199,high,low,high,high,low,low,high
200,medium,high,high,high,low,low,high
201,high,high,high,low,medium,low,high
202,high,high,medium,medium,medium,low,high
203,high,low,high,medium,medium,low,high
204,medium,high,high,medium,medium,low,high
205,high,high,low,high,medium,low,high
206,high,low,medium,high,medium,low,high
207,medium,high,medium,high,medium,low,high
208,medium,low,high,high,medium,low,high
209,low,high,high,high,medium,low,high
210,high,high,medium,low,high,low,high
211,high,low,high,low,high,low,high
212,medium,high,high,low,high,low,high
213,high,high,low,medium,high,low,high
214,high,low,medium,medium,high,low,high
215,medium,high,medium,medium,high,low,high
216,medium,low,high,medium,high,low,high
217,low,high,high,medium,high,low,high
218,high,low,low,high,high,low,high
219,medium,high,low,high,high,low,high
220,medium,low,medium,high,high,low,high
221,low,high,medium,high,high,low,high
222,low,low,high,high,high,low,high
223,high,high,high,low,low,high,high
224,high,high,medium,medium,low,high,high
225,high,low,high,medium,low,high,high
226,medium,high,high,medium,low,high,high
227,high,high,low,high,low,high,high
228,high,low,medium,high,low,high,high
229,medium,high,medium,high,low,high,high
230,medium,low,high,high,low,high,high
231,low,high,high,high,low,high,high
232,high,high,medium,low,medium,high,high
233,high,low,high,low,medium,high,high
234,medium,high,high,low,medium,high,high
235,high,high,low,medium,medium,high,medium
236,high,low,medium,medium,medium,high,high
237,medium,high,medium,medium,medium,high,high
238,medium,low,high,medium,medium,high,high
239,low,high,high,medium,medium,high,high
240,high,low,low,high,medium,high,high
241,medium,high,low,high,medium,high,high
242,medium,low,medium,high,medium,high,high
243,low,high,medium,high,medium,high,high
244,low,low,high,high,medium,high,high
245,high,high,low,low,high,high,medium
246,high,low,medium,low,high,high,high
247,medium,high,medium,low,high,high,high
248,medium,low,high,low,high,high,high
249,low,high,high,low,high,high,high
250,high,low,low,medium,high,high,high
251,medium,high,low,medium,high,high,medium
252,medium,low,medium,medium,high,high,high
253,low,high,medium,medium,high,high,high
254,low,low,high,medium,high,high,high
255,medium,low,low,high,high,high,high
256,low,high,low,high,high,high,medium
257,low,low,medium,high,high,high,high
258,high,high,high,high,low,low,critical
259,high,high,high,medium,medium,low,high
260,high,high,medium,high,medium,low,critical
261,high,low,high,high,medium,low,critical
262,medium,high,high,high,medium,low,high
263,high,high,high,low,high,low,critical
264,high,high,medium,medium,high,low,critical
265,high,low,high,medium,high,low,critical
266,medium,high,high,medium,high,low,high
267,high,high,low,high,high,low,critical
268,high,low,medium,high,high,low,critical
269,medium,high,medium,high,high,low,high
270,medium,low,high,high,high,low,critical
271,low,high,high,high,high,low,high
272,high,high,high,medium,low,high,critical
273,high,high,medium,high,low,high,critical
274,high,low,high,high,low,high,critical
275,medium,high,high,high,low,high,critical
276,high,high,high,low,medium,high,high
277,high,high,medium,medium,medium,high,high
278,high,low,high,medium,medium,high,critical
279,medium,high,high,medium,medium,high,high
280,high,high,low,high,medium,high,high
281,high,low,medium,high,medium,high,critical
282,medium,high,medium,high,medium,high,high
283,medium,low,high,high,medium,high,high
284,low,high,high,high,medium,high,high
285,high,high,medium,low,high,high,high
286,high,low,high,low,high,high,critical
287,medium,high,high,low,high,high,high
288,high,high,low,medium,high,high,high
289,high,low,medium,medium,high,high,critical
290,medium,high,medium,medium,high,high,high
291,medium,low,high,medium,high,high,critical
292,low,high,high,medium,high,high,high
293,high,low,low,high,high,high,high
294,medium,high,low,high,high,high,high
295,medium,low,medium,high,high,high,high
296,low,high,medium,high,high,high,high
297,low,low,high,high,high,high,high
298,high,high,high,high,medium,low,critical
299,high,high,high,medium,high,low,critical
300,high,high,medium,high,high,low,critical
301,high,low,high,high,high,low,critical
302,medium,high,high,high,high,low,critical
303,high,high,high,high,low,high,critical
304,high,high,high,medium,medium,high,critical
305,high,high,medium,high,medium,high,critical
306,high,low,high,high,medium,high,critical
307,medium,high,high,high,medium,high,critical
308,high,high,high,low,high,high,critical
309,high,high,medium,medium,high,high,critical
310,high,low,high,medium,high,high,critical
311,medium,high,high,medium,high,high,critical
312,high,high,low,high,high,high,critical
313,high,low,medium,high,high,high,critical
314,medium,high,medium,high,high,high,critical
315,medium,low,high,high,high,high,critical
316,low,high,high,high,high,high,critical
317,high,high,high,high,high,low,critical
318,high,high,high,high,medium,high,critical
319,high,high,high,medium,high,high,critical
320,high,high,medium,high,high,high,critical
321,high,low,high,high,high,high,critical
322,medium,high,high,high,high,high,critical
323,high,high,high,high,high,high,critical
