row,Attack Vector v3.0.1 (cvss),Privileges Required v1.0.1 (cvss),User Interaction v2.0.0 (cvss),Equivalence Set 1 v1.0.0 (cvss)
0,physical,high,active,low
1,local,high,active,low
2,physical,low,active,low
3,physical,high,passive,low
4,adjacent,high,active,low
5,local,low,active,low
6,physical,none,active,low
7,local,high,passive,low
8,physical,low,passive,low
9,physical,high,none,low
10,network,high,active,medium
11,adjacent,low,active,low
12,local,none,active,medium
13,adjacent,high,passive,low
14,local,low,passive,low
15,physical,none,passive,low
16,local,high,none,medium
17,physical,low,none,low
18,network,low,active,medium
19,adjacent,none,active,medium
20,network,high,passive,medium
21,adjacent,low,passive,low
22,local,none,passive,medium
23,adjacent,high,none,medium
24,local,low,none,medium
25,physical,none,none,low
26,network,none,active,medium
27,network,low,passive,medium
28,adjacent,none,passive,medium
29,network,high,none,medium
30,adjacent,low,none,medium
31,local,none,none,medium
32,network,none,passive,medium
33,network,low,none,medium
34,adjacent,none,none,medium
35,network,none,none,high
