row,Confidentiality Impact to the Vulnerable System v3.0.0 (cvss),Integrity Impact to the Vulnerable System v3.0.0 (cvss),Availability Impact to the Vulnerable System v3.0.0 (cvss),Equivalence Set 3 v1.0.0 (cvss)
0,none,none,none,low
1,low,none,none,low
2,none,low,none,low
3,none,none,low,low
4,high,none,none,medium
5,low,low,none,low
6,none,high,none,medium
7,low,none,low,low
8,none,low,low,low
9,none,none,high,medium
10,high,low,none,medium
11,low,high,none,medium
12,high,none,low,medium
13,low,low,low,low
14,none,high,low,medium
15,low,none,high,medium
16,none,low,high,medium
17,high,high,none,high
18,high,low,low,medium
19,low,high,low,medium
20,high,none,high,medium
21,low,low,high,medium
22,none,high,high,medium
23,high,high,low,high
24,high,low,high,medium
25,low,high,high,medium
26,high,high,high,high
