row,Confidentiality Impact to the Subsequent System v1.0.0 (cvss),Modified Integrity Impact to the Subsequent System (without Not Defined) v1.0.1 (cvss),Modified Availability Impact to the Subsequent System (without Not Defined) v1.0.1 (cvss),Equivalence Set 4 v1.0.0 (cvss)
0,negligible,negligible,negligible,low
1,low,negligible,negligible,low
2,negligible,low,negligible,low
3,negligible,negligible,low,low
4,high,negligible,negligible,medium
5,low,low,negligible,low
6,negligible,high,negligible,medium
7,low,negligible,low,low
8,negligible,low,low,low
9,negligible,negligible,high,medium
10,high,low,negligible,medium
11,low,high,negligible,medium
12,negligible,safety,negligible,high
13,high,negligible,low,medium
14,low,low,low,low
15,negligible,high,low,medium
16,low,negligible,high,medium
17,negligible,low,high,medium
18,negligible,negligible,safety,high
19,high,high,negligible,medium
20,low,safety,negligible,high
21,high,low,low,medium
22,low,high,low,medium
23,negligible,safety,low,high
24,high,negligible,high,medium
25,low,low,high,medium
26,negligible,high,high,medium
27,low,negligible,safety,high
28,negligible,low,safety,high
29,high,safety,negligible,high
30,high,high,low,medium
31,low,safety,low,high
32,high,low,high,medium
33,low,high,high,medium
34,negligible,safety,high,high
35,high,negligible,safety,high
36,low,low,safety,high
37,negligible,high,safety,high
38,high,safety,low,high
39,high,high,high,medium
40,low,safety,high,high
41,high,low,safety,high
42,low,high,safety,high
43,negligible,safety,safety,high
44,high,safety,high,high
45,high,high,safety,high
46,low,safety,safety,high
47,high,safety,safety,high
