row,Confidentiality Requirement (without Not Defined) v1.1.1 (cvss),Confidentiality Impact to the Vulnerable System v3.0.0 (cvss),Integrity Requirement (without Not Defined) v1.1.1 (cvss),Integrity Impact to the Vulnerable System v3.0.0 (cvss),Availability Requirement (without Not Defined) v1.1.1 (cvss),Availability Impact to the Vulnerable System v3.0.0 (cvss),Equivalence Set 6 v1.0.0 (cvss)
0,low,none,low,none,low,none,low
1,medium,none,low,none,low,none,low
2,low,low,low,none,low,none,low
3,low,none,medium,none,low,none,low
4,low,none,low,low,low,none,low
5,low,none,low,none,medium,none,low
6,low,none,low,none,low,low,low
7,high,none,low,none,low,none,low
8,medium,low,low,none,low,none,low
9,low,high,low,none,low,none,low
10,medium,none,medium,none,low,none,low
11,low,low,medium,none,low,none,low
12,low,none,high,none,low,none,low
13,medium,none,low,low,low,none,low
14,low,low,low,low,low,none,low
15,low,none,medium,low,low,none,low
16,low,none,low,high,low,none,low
17,medium,none,low,none,medium,none,low
18,low,low,low,none,medium,none,low
19,low,none,medium,none,medium,none,low
20,low,none,low,low,medium,none,low
21,low,none,low,none,high,none,low
22,medium,none,low,none,low,low,low
23,low,low,low,none,low,low,low
24,low,none,medium,none,low,low,low
25,low,none,low,low,low,low,low
26,low,none,low,none,medium,low,low
27,low,none,low,none,low,high,low
28,high,low,low,none,low,none,low
29,medium,high,low,none,low,none,low
30,high,none,medium,none,low,none,low
31,medium,low,medium,none,low,none,low
32,low,high,medium,none,low,none,low
33,medium,none,high,none,low,none,low
34,low,low,high,none,low,none,low
35,high,none,low,low,low,none,low
36,medium,low,low,low,low,none,low
37,low,high,low,low,low,none,low
38,medium,none,medium,low,low,none,low
39,low,low,medium,low,low,none,low
40,low,none,high,low,low,none,low
41,medium,none,low,high,low,none,low
42,low,low,low,high,low,none,low
43,low,none,medium,high,low,none,low
44,high,none,low,none,medium,none,low
45,medium,low,low,none,medium,none,low
46,low,high,low,none,medium,none,low
47,medium,none,medium,none,medium,none,low
48,low,low,medium,none,medium,none,low
49,low,none,high,none,medium,none,low
50,medium,none,low,low,medium,none,low
51,low,low,low,low,medium,none,low
52,low,none,medium,low,medium,none,low
53,low,none,low,high,medium,none,low
54,medium,none,low,none,high,none,low
55,low,low,low,none,high,none,low
56,low,none,medium,none,high,none,low
57,low,none,low,low,high,none,low
58,high,none,low,none,low,low,low
59,medium,low,low,none,low,low,low
60,low,high,low,none,low,low,low
61,medium,none,medium,none,low,low,low
62,low,low,medium,none,low,low,low
63,low,none,high,none,low,low,low
64,medium,none,low,low,low,low,low
65,low,low,low,low,low,low,low
66,low,none,medium,low,low,low,low
67,low,none,low,high,low,low,low
68,medium,none,low,none,medium,low,low
69,low,low,low,none,medium,low,low
70,low,none,medium,none,medium,low,low
71,low,none,low,low,medium,low,low
72,low,none,low,none,high,low,low
73,medium,none,low,none,low,high,low
74,low,low,low,none,low,high,low
75,low,none,medium,none,low,high,low
76,low,none,low,low,low,high,low
77,low,none,low,none,medium,high,low
78,high,high,low,none,low,none,high
79,high,low,medium,none,low,none,low
80,medium,high,medium,none,low,none,low
81,high,none,high,none,low,none,low
82,medium,low,high,none,low,none,low
83,low,high,high,none,low,none,low
84,high,low,low,low,low,none,low
85,medium,high,low,low,low,none,low
86,high,none,medium,low,low,none,low
87,medium,low,medium,low,low,none,low
88,low,high,medium,low,low,none,low
89,medium,none,high,low,low,none,low
90,low,low,high,low,low,none,low
91,high,none,low,high,low,none,low
92,medium,low,low,high,low,none,low
93,low,high,low,high,low,none,low
94,medium,none,medium,high,low,none,low
95,low,low,medium,high,low,none,low
96,low,none,high,high,low,none,high
97,high,low,low,none,medium,none,low
98,medium,high,low,none,medium,none,low
99,high,none,medium,none,medium,none,low
100,medium,low,medium,none,medium,none,low
101,low,high,medium,none,medium,none,low
102,medium,none,high,none,medium,none,low
103,low,low,high,none,medium,none,low
104,high,none,low,low,medium,none,low
105,medium,low,low,low,medium,none,low
106,low,high,low,low,medium,none,low
107,medium,none,medium,low,medium,none,low
108,low,low,medium,low,medium,none,low
109,low,none,high,low,medium,none,low
110,medium,none,low,high,medium,none,low
111,low,low,low,high,medium,none,low
112,low,none,medium,high,medium,none,low
113,high,none,low,none,high,none,low
114,medium,low,low,none,high,none,low
115,low,high,low,none,high,none,low
116,medium,none,medium,none,high,none,low
117,low,low,medium,none,high,none,low
118,low,none,high,none,high,none,low
119,medium,none,low,low,high,none,low
120,low,low,low,low,high,none,low
121,low,none,medium,low,high,none,low
122,low,none,low,high,high,none,low
123,high,low,low,none,low,low,low
124,medium,high,low,none,low,low,low
125,high,none,medium,none,low,low,low
126,medium,low,medium,none,low,low,low
127,low,high,medium,none,low,low,low
128,medium,none,high,none,low,low,low
129,low,low,high,none,low,low,low
130,high,none,low,low,low,low,low
131,medium,low,low,low,low,low,low
132,low,high,low,low,low,low,low
133,medium,none,medium,low,low,low,low
134,low,low,medium,low,low,low,low
135,low,none,high,low,low,low,low
136,medium,none,low,high,low,low,low
137,low,low,low,high,low,low,low
138,low,none,medium,high,low,low,low
139,high,none,low,none,medium,low,low
140,medium,low,low,none,medium,low,low
141,low,high,low,none,medium,low,low
142,medium,none,medium,none,medium,low,low
143,low,low,medium,none,medium,low,low
144,low,none,high,none,medium,low,low
145,medium,none,low,low,medium,low,low
146,low,low,low,low,medium,low,low
147,low,none,medium,low,medium,low,low
148,low,none,low,high,medium,low,low
149,medium,none,low,none,high,low,low
150,low,low,low,none,high,low,low
151,low,none,medium,none,high,low,low
152,low,none,low,low,high,low,low
153,high,none,low,none,low,high,low
154,medium,low,low,none,low,high,low
155,low,high,low,none,low,high,low
156,medium,none,medium,none,low,high,low
157,low,low,medium,none,low,high,low
158,low,none,high,none,low,high,low
159,medium,none,low,low,low,high,low
160,low,low,low,low,low,high,low
161,low,none,medium,low,low,high,low
162,low,none,low,high,low,high,low
163,medium,none,low,none,medium,high,low
164,low,low,low,none,medium,high,low
165,low,none,medium,none,medium,high,low
166,low,none,low,low,medium,high,low
167,low,none,low,none,high,high,high
168,high,high,medium,none,low,none,high
169,high,low,high,none,low,none,low
170,medium,high,high,none,low,none,low
171,high,high,low,low,low,none,high
172,high,low,medium,low,low,none,low
173,medium,high,medium,low,low,none,low
174,high,none,high,low,low,none,low
175,medium,low,high,low,low,none,low
176,low,high,high,low,low,none,low
177,high,low,low,high,low,none,low
178,medium,high,low,high,low,none,low
179,high,none,medium,high,low,none,low
180,medium,low,medium,high,low,none,low
181,low,high,medium,high,low,none,low
182,medium,none,high,high,low,none,high
183,low,low,high,high,low,none,high
184,high,high,low,none,medium,none,high
185,high,low,medium,none,medium,none,low
186,medium,high,medium,none,medium,none,low
187,high,none,high,none,medium,none,low
188,medium,low,high,none,medium,none,low
189,low,high,high,none,medium,none,low
190,high,low,low,low,medium,none,low
191,medium,high,low,low,medium,none,low
192,high,none,medium,low,medium,none,low
193,medium,low,medium,low,medium,none,low
194,low,high,medium,low,medium,none,low
195,medium,none,high,low,medium,none,low
196,low,low,high,low,medium,none,low
197,high,none,low,high,medium,none,low
198,medium,low,low,high,medium,none,low
199,low,high,low,high,medium,none,low
200,medium,none,medium,high,medium,none,low
201,low,low,medium,high,medium,none,low
202,low,none,high,high,medium,none,high
203,high,low,low,none,high,none,low
204,medium,high,low,none,high,none,low
205,high,none,medium,none,high,none,low
206,medium,low,medium,none,high,none,low
207,low,high,medium,none,high,none,low
208,medium,none,high,none,high,none,low
209,low,low,high,none,high,none,low
210,high,none,low,low,high,none,low
211,medium,low,low,low,high,none,low
212,low,high,low,low,high,none,low
213,medium,none,medium,low,high,none,low
214,low,low,medium,low,high,none,low
215,low,none,high,low,high,none,low
216,medium,none,low,high,high,none,low
217,low,low,low,high,high,none,low
218,low,none,medium,high,high,none,low
219,high,high,low,none,low,low,high
220,high,low,medium,none,low,low,low
221,medium,high,medium,none,low,low,low
222,high,none,high,none,low,low,low
223,medium,low,high,none,low,low,low
224,low,high,high,none,low,low,low
225,high,low,low,low,low,low,low
226,medium,high,low,low,low,low,low
227,high,none,medium,low,low,low,low
228,medium,low,medium,low,low,low,low
229,low,high,medium,low,low,low,low
230,medium,none,high,low,low,low,low
231,low,low,high,low,low,low,low
232,high,none,low,high,low,low,low
233,medium,low,low,high,low,low,low
234,low,high,low,high,low,low,low
235,medium,none,medium,high,low,low,low
236,low,low,medium,high,low,low,low
237,low,none,high,high,low,low,high
238,high,low,low,none,medium,low,low
239,medium,high,low,none,medium,low,low
240,high,none,medium,none,medium,low,low
241,medium,low,medium,none,medium,low,low
242,low,high,medium,none,medium,low,low
243,medium,none,high,none,medium,low,low
244,low,low,high,none,medium,low,low
245,high,none,low,low,medium,low,low
246,medium,low,low,low,medium,low,low
247,low,high,low,low,medium,low,low
248,medium,none,medium,low,medium,low,low
249,low,low,medium,low,medium,low,low
250,low,none,high,low,medium,low,low
251,medium,none,low,high,medium,low,low
252,low,low,low,high,medium,low,low
253,low,none,medium,high,medium,low,low
254,high,none,low,none,high,low,low
255,medium,low,low,none,high,low,low
256,low,high,low,none,high,low,low
257,medium,none,medium,none,high,low,low
258,low,low,medium,none,high,low,low
259,low,none,high,none,high,low,low
260,medium,none,low,low,high,low,low
261,low,low,low,low,high,low,low
262,low,none,medium,low,high,low,low
263,low,none,low,high,high,low,low
264,high,low,low,none,low,high,low
265,medium,high,low,none,low,high,low
266,high,none,medium,none,low,high,low
267,medium,low,medium,none,low,high,low
268,low,high,medium,none,low,high,low
269,medium,none,high,none,low,high,low
270,low,low,high,none,low,high,low
271,high,none,low,low,low,high,low
272,medium,low,low,low,low,high,low
273,low,high,low,low,low,high,low
274,medium,none,medium,low,low,high,low
275,low,low,medium,low,low,high,low
276,low,none,high,low,low,high,low
277,medium,none,low,high,low,high,low
