row,Report Public v1.0.0,Supplier Contacted v1.0.0,Report Credibility v1.0.0,Supplier Cardinality v1.0.0,Supplier Engagement v1.0.0,Utility v1.0.1,Public Safety Impact v2.0.1,"Decline, Track, Coordinate v1.0.1"
0,yes,no,not credible,one,active,laborious,minimal,decline
1,no,no,not credible,one,active,laborious,minimal,decline
2,yes,yes,not credible,one,active,laborious,minimal,decline
3,yes,no,credible,one,active,laborious,minimal,decline
4,yes,no,not credible,multiple,active,laborious,minimal,decline
5,yes,no,not credible,one,unresponsive,laborious,minimal,decline
6,yes,no,not credible,one,active,efficient,minimal,decline
7,yes,no,not credible,one,active,laborious,significant,decline
8,no,yes,not credible,one,active,laborious,minimal,decline
9,no,no,credible,one,active,laborious,minimal,decline
10,yes,yes,credible,one,active,laborious,minimal,decline
11,no,no,not credible,multiple,active,laborious,minimal,decline
12,yes,yes,not credible,multiple,active,laborious,minimal,decline
13,yes,no,credible,multiple,active,laborious,minimal,decline
14,no,no,not credible,one,unresponsive,laborious,minimal,decline
15,yes,yes,not credible,one,unresponsive,laborious,minimal,decline
16,yes,no,credible,one,unresponsive,laborious,minimal,decline
17,yes,no,not credible,multiple,unresponsive,laborious,minimal,decline
18,no,no,not credible,one,active,efficient,minimal,decline
19,yes,yes,not credible,one,active,efficient,minimal,decline
20,yes,no,credible,one,active,efficient,minimal,decline
21,yes,no,not credible,multiple,active,efficient,minimal,decline
22,yes,no,not credible,one,unresponsive,efficient,minimal,decline
23,yes,no,not credible,one,active,super effective,minimal,decline
24,no,no,not credible,one,active,laborious,significant,decline
25,yes,yes,not credible,one,active,laborious,significant,decline
26,yes,no,credible,one,active,laborious,significant,decline
27,yes,no,not credible,multiple,active,laborious,significant,decline
28,yes,no,not credible,one,unresponsive,laborious,significant,decline
29,yes,no,not credible,one,active,efficient,significant,decline
30,no,yes,credible,one,active,laborious,minimal,decline
31,no,yes,not credible,multiple,active,laborious,minimal,decline
32,no,no,credible,multiple,active,laborious,minimal,decline
33,yes,yes,credible,multiple,active,laborious,minimal,decline
34,no,yes,not credible,one,unresponsive,laborious,minimal,decline
35,no,no,credible,one,unresponsive,laborious,minimal,decline
36,yes,yes,credible,one,unresponsive,laborious,minimal,decline
37,no,no,not credible,multiple,unresponsive,laborious,minimal,decline
38,yes,yes,not credible,multiple,unresponsive,laborious,minimal,decline
39,yes,no,credible,multiple,unresponsive,laborious,minimal,decline
40,no,yes,not credible,one,active,efficient,minimal,decline
41,no,no,credible,one,active,efficient,minimal,decline
42,yes,yes,credible,one,active,efficient,minimal,decline
43,no,no,not credible,multiple,active,efficient,minimal,decline
44,yes,yes,not credible,multiple,active,efficient,minimal,decline
45,yes,no,credible,multiple,active,efficient,minimal,decline
46,no,no,not credible,one,unresponsive,efficient,minimal,decline
47,yes,yes,not credible,one,unresponsive,efficient,minimal,decline
48,yes,no,credible,one,unresponsive,efficient,minimal,decline
49,yes,no,not credible,multiple,unresponsive,efficient,minimal,decline
50,no,no,not credible,one,active,super effective,minimal,decline
51,yes,yes,not credible,one,active,super effective,minimal,decline
52,yes,no,credible,one,active,super effective,minimal,decline
53,yes,no,not credible,multiple,active,super effective,minimal,decline
54,yes,no,not credible,one,unresponsive,super effective,minimal,decline
55,no,yes,not credible,one,active,laborious,significant,decline
56,no,no,credible,one,active,laborious,significant,decline
57,yes,yes,credible,one,active,laborious,significant,decline
58,no,no,not credible,multiple,active,laborious,significant,decline
59,yes,yes,not credible,multiple,active,laborious,significant,decline
60,yes,no,credible,multiple,active,laborious,significant,decline
61,no,no,not credible,one,unresponsive,laborious,significant,decline
62,yes,yes,not credible,one,unresponsive,laborious,significant,decline
63,yes,no,credible,one,unresponsive,laborious,significant,decline
64,yes,no,not credible,multiple,unresponsive,laborious,significant,decline
65,no,no,not credible,one,active,efficient,significant,decline
66,yes,yes,not credible,one,active,efficient,significant,decline
67,yes,no,credible,one,active,efficient,significant,decline
68,yes,no,not credible,multiple,active,efficient,significant,decline
69,yes,no,not credible,one,unresponsive,efficient,significant,decline
70,yes,no,not credible,one,active,super effective,significant,decline
71,no,yes,credible,multiple,active,laborious,minimal,decline
72,no,yes,credible,one,unresponsive,laborious,minimal,track
73,no,yes,not credible,multiple,unresponsive,laborious,minimal,decline
74,no,no,credible,multiple,unresponsive,laborious,minimal,decline
75,yes,yes,credible,multiple,unresponsive,laborious,minimal,decline
76,no,yes,credible,one,active,efficient,minimal,decline
