row,Privileges Required v1.0.1 (cvss),Confidentiality Impact to the Vulnerable System v3.0.0 (cvss),Integrity Impact to the Vulnerable System v3.0.0 (cvss),Technical Impact v1.0.0
0,high,none,none,partial
1,low,none,none,partial
2,high,low,none,partial
3,high,none,low,partial
4,none,none,none,partial
5,low,low,none,partial
6,high,high,none,partial
7,low,none,low,partial
8,high,low,low,partial
9,high,none,high,partial
10,none,low,none,partial
11,low,high,none,partial
12,none,none,low,partial
13,low,low,low,partial
14,high,high,low,partial
15,low,none,high,partial
16,high,low,high,partial
17,none,high,none,partial
18,none,low,low,partial
19,low,high,low,partial
20,none,none,high,partial
21,low,low,high,partial
22,high,high,high,total
23,none,high,low,total
24,none,low,high,total
25,low,high,high,total
26,none,high,high,total
