CWE-ID,CWE name,In NVD's CWE Slice?,Possible PoC? ,How could vulnerabilities containing this CWE be exploited?,Tools,Links to tools
20,Improper Input Validation,yes,no,,,
22,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),yes,yes,"directory/path traversal ""../""",Panoptic; Burp Suite,https://github.com/lightos/Panoptic; https://portswigger.net/burp 
59,Improper Link Resolution Before File Access ('Link Following'),yes,yes,symlink attack,No specialized resources are required to execute this type of attack. The only requirement is the ability to create the necessary symbolic link.,https://capec.mitre.org/data/definitions/132.html
73,External Control of File Name or Path,no,no,,,
74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),yes,no,,,
77,Improper Neutralization of Special Elements used in a Command ('Command Injection'),yes,yes,command injection,Commix,https://github.com/commixproject/commix
78,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),yes,yes,OS command injection,Commix; Burp Suite,https://github.com/commixproject/commix; https://portswigger.net/burp 
79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),yes,yes,cross-site scripting attack,XSSER; Pybelt; XSStrike,https://github.com/epsylon/xsser; https://github.com/Ekultek/Pybelt; https://github.com/s0md3v/XSStrike 
88,Improper Neutralization of Argument Delimiters in a Command ('Argument Injection'),yes,yes,argument/parameter injection,Argument Injection Hammer,https://github.com/nccgroup/argumentinjectionhammer
89,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),yes,yes,malicious SQL command injection,SQLMap; BBQSQL; JSQL injection; NoSQLMap,https://github.com/sqlmapproject/sqlmap; https://github.com/CiscoCXSecurity/bbqsql; https://github.com/ron190/jsql-injection; https://github.com/codingo/NoSQLMap 
91,XML Injection (aka Blind XPath Injection),yes,yes,"inject XML code into a web input, XML file or stream",XXExploiter,https://github.com/luisfontes19/xxexploiter
94,Improper Control of Generation of Code ('Code Injection'),yes,no,,,
115,Misinterpretation of Input,no,no,,,
116,Improper Encoding or Escaping of Output,yes,no,,,
119,Improper Restriction of Operations within the Bounds of a Memory Buffer,yes,no,,,
120,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),yes,no,,,
122,Heap-based Buffer Overflow,no,no,,,
125,Out-of-bounds Read,yes,no,,,
129,Improper Validation of Array Index,yes,no,,,
131,Incorrect Calculation of Buffer Size,yes,no,,,
134,Use of Externally-Controlled Format String,yes,no,,,
178,Improper Handling of Case Sensitivity,yes,no,,,
190,Integer Overflow or Wraparound,yes,no,,,
191,Integer Underflow (Wrap or Wraparound),yes,no,,,
193,Off-by-one Error,yes,no,,,
194,Unexpected Sign Extension,no,no,,,
200,Exposure of Sensitive Information to an Unauthorized Actor,yes,no,,,
201,Insertion of Sensitive Information Into Sent Data,no,no,,,
203,Observable Discrepancy,yes,no,,,
209,Generation of Error Message Containing Sensitive Information,yes,yes,read/capture sensitive information contained in error message,OWASP ZAP; Burp Suite,https://www.zaproxy.org/; https://portswigger.net/burp 
212,Improper Removal of Sensitive Information Before Storage or Transfer,yes,no,,,
252,Unchecked Return Value,yes,no,,,
257,Storing Passwords in a Recoverable Format,no,no,,,
