row,Exploitation,Exposure,Automatable,Human Impact,Priority
1,none,small,no,low,defer
2,none,small,no,medium,defer
3,none,small,no,high,scheduled
4,none,small,no,very high,scheduled
5,none,small,yes,low,defer
6,none,small,yes,medium,scheduled
7,none,small,yes,high,scheduled
8,none,small,yes,very high,scheduled
9,none,controlled,no,low,defer
10,none,controlled,no,medium,scheduled
11,none,controlled,no,high,scheduled
12,none,controlled,no,very high,scheduled
13,none,controlled,yes,low,scheduled
14,none,controlled,yes,medium,scheduled
15,none,controlled,yes,high,scheduled
16,none,controlled,yes,very high,scheduled
17,none,open,no,low,defer
18,none,open,no,medium,scheduled
19,none,open,no,high,scheduled
20,none,open,no,very high,scheduled
21,none,open,yes,low,scheduled
22,none,open,yes,medium,scheduled
23,none,open,yes,high,scheduled
24,none,open,yes,very high,out-of-cycle
25,PoC,small,no,low,defer
26,PoC,small,no,medium,scheduled
27,PoC,small,no,high,scheduled
28,PoC,small,no,very high,scheduled
29,PoC,small,yes,low,scheduled
30,PoC,small,yes,medium,scheduled
31,PoC,small,yes,high,scheduled
32,PoC,small,yes,very high,scheduled
33,PoC,controlled,no,low,defer
34,PoC,controlled,no,medium,scheduled
35,PoC,controlled,no,high,scheduled
36,PoC,controlled,no,very high,scheduled
37,PoC,controlled,yes,low,scheduled
38,PoC,controlled,yes,medium,scheduled
39,PoC,controlled,yes,high,scheduled
40,PoC,controlled,yes,very high,out-of-cycle
41,PoC,open,no,low,scheduled
42,PoC,open,no,medium,scheduled
43,PoC,open,no,high,scheduled
44,PoC,open,no,very high,out-of-cycle
45,PoC,open,yes,low,scheduled
46,PoC,open,yes,medium,scheduled
47,PoC,open,yes,high,out-of-cycle
48,PoC,open,yes,very high,out-of-cycle
49,active,small,no,low,scheduled
50,active,small,no,medium,scheduled
51,active,small,no,high,out-of-cycle
52,active,small,no,very high,out-of-cycle
53,active,small,yes,low,scheduled
54,active,small,yes,medium,out-of-cycle
55,active,small,yes,high,out-of-cycle
56,active,small,yes,very high,out-of-cycle
57,active,controlled,no,low,scheduled
58,active,controlled,no,medium,scheduled
59,active,controlled,no,high,out-of-cycle
60,active,controlled,no,very high,out-of-cycle
61,active,controlled,yes,low,out-of-cycle
62,active,controlled,yes,medium,out-of-cycle
63,active,controlled,yes,high,out-of-cycle
64,active,controlled,yes,very high,out-of-cycle
65,active,open,no,low,scheduled
66,active,open,no,medium,out-of-cycle
67,active,open,no,high,out-of-cycle
68,active,open,no,very high,immediate
69,active,open,yes,low,out-of-cycle
70,active,open,yes,medium,out-of-cycle
71,active,open,yes,high,immediate
72,active,open,yes,very high,immediate
