row,Exploitation,Exposure,Utility,Well-being and Mission Impact,Priority(TODO)
1,none,small,laborious,low,
2,none,small,laborious,medium,
3,none,small,laborious,high,
4,none,small,laborious,very high,
5,none,small,effecient,low,
6,none,small,effecient,medium,
7,none,small,effecient,high,
8,none,small,effecient,very high,
9,none,small,super effective,low,
10,none,small,super effective,medium,
11,none,small,super effective,high,
12,none,small,super effective,very high,
13,none,controlled,laborious,low,
14,none,controlled,laborious,medium,
15,none,controlled,laborious,high,
16,none,controlled,laborious,very high,
17,none,controlled,effecient,low,
18,none,controlled,effecient,medium,
19,none,controlled,effecient,high,
20,none,controlled,effecient,very high,
21,none,controlled,super effective,low,
22,none,controlled,super effective,medium,
23,none,controlled,super effective,high,
24,none,controlled,super effective,very high,
25,none,open,laborious,low,
26,none,open,laborious,medium,
27,none,open,laborious,high,
28,none,open,laborious,very high,
29,none,open,effecient,low,
30,none,open,effecient,medium,
31,none,open,effecient,high,
32,none,open,effecient,very high,
33,none,open,super effective,low,
34,none,open,super effective,medium,
35,none,open,super effective,high,
36,none,open,super effective,very high,
37,PoC,small,laborious,low,
38,PoC,small,laborious,medium,
39,PoC,small,laborious,high,
40,PoC,small,laborious,very high,
41,PoC,small,effecient,low,
42,PoC,small,effecient,medium,
43,PoC,small,effecient,high,
44,PoC,small,effecient,very high,
45,PoC,small,super effective,low,
46,PoC,small,super effective,medium,
47,PoC,small,super effective,high,
48,PoC,small,super effective,very high,
49,PoC,controlled,laborious,low,
50,PoC,controlled,laborious,medium,
51,PoC,controlled,laborious,high,
52,PoC,controlled,laborious,very high,
53,PoC,controlled,effecient,low,
54,PoC,controlled,effecient,medium,
55,PoC,controlled,effecient,high,
56,PoC,controlled,effecient,very high,
57,PoC,controlled,super effective,low,
58,PoC,controlled,super effective,medium,
59,PoC,controlled,super effective,high,
60,PoC,controlled,super effective,very high,
61,PoC,open,laborious,low,
62,PoC,open,laborious,medium,
63,PoC,open,laborious,high,
64,PoC,open,laborious,very high,
65,PoC,open,effecient,low,
66,PoC,open,effecient,medium,
67,PoC,open,effecient,high,
68,PoC,open,effecient,very high,
69,PoC,open,super effective,low,
70,PoC,open,super effective,medium,
71,PoC,open,super effective,high,
72,PoC,open,super effective,very high,
73,active,small,laborious,low,
74,active,small,laborious,medium,
75,active,small,laborious,high,
76,active,small,laborious,very high,
77,active,small,effecient,low,
78,active,small,effecient,medium,
79,active,small,effecient,high,
80,active,small,effecient,very high,
81,active,small,super effective,low,
82,active,small,super effective,medium,
83,active,small,super effective,high,
84,active,small,super effective,very high,
85,active,controlled,laborious,low,
86,active,controlled,laborious,medium,
87,active,controlled,laborious,high,
88,active,controlled,laborious,very high,
89,active,controlled,effecient,low,
90,active,controlled,effecient,medium,
91,active,controlled,effecient,high,
92,active,controlled,effecient,very high,
93,active,controlled,super effective,low,
94,active,controlled,super effective,medium,
95,active,controlled,super effective,high,
96,active,controlled,super effective,very high,
97,active,open,laborious,low,
98,active,open,laborious,medium,
99,active,open,laborious,high,
100,active,open,laborious,very high,
101,active,open,effecient,low,
102,active,open,effecient,medium,
103,active,open,effecient,high,
104,active,open,effecient,very high,
105,active,open,super effective,low,
106,active,open,super effective,medium,
107,active,open,super effective,high,
108,active,open,super effective,very high,
