,Exploitation,Exposure,MissionImpact,SafetyImpact,Outcome
0,none,small,none,none,defer
1,none,small,none,minor,defer
2,none,small,none,major,defer
3,none,small,none,hazardous,scheduled
4,none,small,none,catastrophic,out-of-cycle
5,none,small,degraded,none,defer
6,none,small,degraded,minor,defer
7,none,small,degraded,major,scheduled
8,none,small,degraded,hazardous,scheduled
9,none,small,degraded,catastrophic,out-of-cycle
10,none,small,MEF crippled,none,defer
11,none,small,MEF crippled,minor,scheduled
12,none,small,MEF crippled,major,scheduled
13,none,small,MEF crippled,hazardous,scheduled
14,none,small,MEF crippled,catastrophic,out-of-cycle
15,none,small,MEF fail,none,scheduled
16,none,small,MEF fail,minor,scheduled
17,none,small,MEF fail,major,scheduled
18,none,small,MEF fail,hazardous,scheduled
19,none,small,MEF fail,catastrophic,out-of-cycle
20,none,small,mission fail,none,scheduled
21,none,small,mission fail,minor,scheduled
22,none,small,mission fail,major,scheduled
23,none,small,mission fail,hazardous,scheduled
24,none,small,mission fail,catastrophic,out-of-cycle
25,none,controlled,none,none,defer
26,none,controlled,none,minor,defer
27,none,controlled,none,major,scheduled
28,none,controlled,none,hazardous,out-of-cycle
29,none,controlled,none,catastrophic,out-of-cycle
30,none,controlled,degraded,none,defer
31,none,controlled,degraded,minor,defer
32,none,controlled,degraded,major,scheduled
33,none,controlled,degraded,hazardous,out-of-cycle
34,none,controlled,degraded,catastrophic,out-of-cycle
35,none,controlled,MEF crippled,none,defer
36,none,controlled,MEF crippled,minor,scheduled
37,none,controlled,MEF crippled,major,scheduled
38,none,controlled,MEF crippled,hazardous,out-of-cycle
39,none,controlled,MEF crippled,catastrophic,out-of-cycle
40,none,controlled,MEF fail,none,scheduled
41,none,controlled,MEF fail,minor,scheduled
42,none,controlled,MEF fail,major,scheduled
43,none,controlled,MEF fail,hazardous,out-of-cycle
44,none,controlled,MEF fail,catastrophic,out-of-cycle
45,none,controlled,mission fail,none,out-of-cycle
46,none,controlled,mission fail,minor,out-of-cycle
47,none,controlled,mission fail,major,out-of-cycle
