,Exploitation,Utility,TechnicalImpact,SafetyImpact,Outcome
0,none,laborious,partial,none,defer
1,none,laborious,partial,minor,defer
2,none,laborious,partial,major,scheduled
3,none,laborious,partial,hazardous,scheduled
4,none,laborious,partial,catastrophic,scheduled
5,none,laborious,total,none,defer
6,none,laborious,total,minor,defer
7,none,laborious,total,major,scheduled
8,none,laborious,total,hazardous,scheduled
9,none,laborious,total,catastrophic,out-of-cycle
10,none,efficient,partial,none,defer
11,none,efficient,partial,minor,scheduled
12,none,efficient,partial,major,scheduled
13,none,efficient,partial,hazardous,scheduled
14,none,efficient,partial,catastrophic,out-of-cycle
15,none,efficient,total,none,scheduled
16,none,efficient,total,minor,scheduled
17,none,efficient,total,major,scheduled
18,none,efficient,total,hazardous,out-of-cycle
19,none,efficient,total,catastrophic,out-of-cycle
20,none,super effective,partial,none,scheduled
21,none,super effective,partial,minor,scheduled
22,none,super effective,partial,major,scheduled
23,none,super effective,partial,hazardous,out-of-cycle
24,none,super effective,partial,catastrophic,out-of-cycle
25,none,super effective,total,none,scheduled
26,none,super effective,total,minor,scheduled
27,none,super effective,total,major,scheduled
28,none,super effective,total,hazardous,out-of-cycle
29,none,super effective,total,catastrophic,out-of-cycle
30,poc,laborious,partial,none,scheduled
31,poc,laborious,partial,minor,scheduled
32,poc,laborious,partial,major,out-of-cycle
33,poc,laborious,partial,hazardous,out-of-cycle
34,poc,laborious,partial,catastrophic,out-of-cycle
35,poc,laborious,total,none,scheduled
36,poc,laborious,total,minor,scheduled
37,poc,laborious,total,major,out-of-cycle
38,poc,laborious,total,hazardous,out-of-cycle
39,poc,laborious,total,catastrophic,immediate
40,poc,efficient,partial,none,scheduled
41,poc,efficient,partial,minor,scheduled
42,poc,efficient,partial,major,out-of-cycle
43,poc,efficient,partial,hazardous,immediate
44,poc,efficient,partial,catastrophic,immediate
45,poc,efficient,total,none,scheduled
46,poc,efficient,total,minor,out-of-cycle
47,poc,efficient,total,major,out-of-cycle
48,poc,efficient,total,hazardous,immediate
49,poc,efficient,total,catastrophic,immediate
50,poc,super effective,partial,none,scheduled
51,poc,super effective,partial,minor,out-of-cycle
52,poc,super effective,partial,major,out-of-cycle
53,poc,super effective,partial,hazardous,immediate
54,poc,super effective,partial,catastrophic,immediate
55,poc,super effective,total,none,out-of-cycle
56,poc,super effective,total,minor,out-of-cycle
57,poc,super effective,total,major,out-of-cycle
58,poc,super effective,total,hazardous,immediate
59,poc,super effective,total,catastrophic,immediate
60,active,laborious,partial,none,scheduled
61,active,laborious,partial,minor,out-of-cycle
62,active,laborious,partial,major,out-of-cycle
63,active,laborious,partial,hazardous,immediate
64,active,laborious,partial,catastrophic,immediate
65,active,laborious,total,none,out-of-cycle
66,active,laborious,total,minor,out-of-cycle
67,active,laborious,total,major,out-of-cycle
68,active,laborious,total,hazardous,immediate
69,active,laborious,total,catastrophic,immediate
70,active,efficient,partial,none,out-of-cycle
71,active,efficient,partial,minor,out-of-cycle
72,active,efficient,partial,major,immediate
73,active,efficient,partial,hazardous,immediate
74,active,efficient,partial,catastrophic,immediate
75,active,efficient,total,none,out-of-cycle
76,active,efficient,total,minor,out-of-cycle
77,active,efficient,total,major,immediate
78,active,efficient,total,hazardous,immediate
79,active,efficient,total,catastrophic,immediate
80,active,super effective,partial,none,out-of-cycle
81,active,super effective,partial,minor,immediate
82,active,super effective,partial,major,immediate
83,active,super effective,partial,hazardous,immediate
84,active,super effective,partial,catastrophic,immediate
85,active,super effective,total,none,immediate
86,active,super effective,total,minor,immediate
87,active,super effective,total,major,immediate
88,active,super effective,total,hazardous,immediate
89,active,super effective,total,catastrophic,immediate
