Exploitation,Exposure,MissionImpact,SafetyImpact,Outcome
none,small,none,none,defer
none,small,none,minor,defer
none,small,none,major,defer
none,small,none,hazardous,scheduled
none,small,none,catastrophic,out-of-cycle
none,small,degraded,none,defer
none,small,degraded,minor,defer
none,small,degraded,major,scheduled
none,small,degraded,hazardous,scheduled
none,small,degraded,catastrophic,out-of-cycle
none,small,MEF crippled,none,defer
none,small,MEF crippled,minor,scheduled
none,small,MEF crippled,major,scheduled
none,small,MEF crippled,hazardous,scheduled
none,small,MEF crippled,catastrophic,out-of-cycle
none,small,MEF fail,none,scheduled
none,small,MEF fail,minor,scheduled
none,small,MEF fail,major,scheduled
none,small,MEF fail,hazardous,scheduled
none,small,MEF fail,catastrophic,out-of-cycle
none,small,mission fail,none,scheduled
none,small,mission fail,minor,scheduled
none,small,mission fail,major,scheduled
none,small,mission fail,hazardous,scheduled
none,small,mission fail,catastrophic,out-of-cycle
none,controlled,none,none,defer
none,controlled,none,minor,defer
none,controlled,none,major,scheduled
none,controlled,none,hazardous,out-of-cycle
none,controlled,none,catastrophic,out-of-cycle
none,controlled,degraded,none,defer
none,controlled,degraded,minor,defer
none,controlled,degraded,major,scheduled
none,controlled,degraded,hazardous,out-of-cycle
none,controlled,degraded,catastrophic,out-of-cycle
none,controlled,MEF crippled,none,defer
none,controlled,MEF crippled,minor,scheduled
none,controlled,MEF crippled,major,scheduled
none,controlled,MEF crippled,hazardous,out-of-cycle
none,controlled,MEF crippled,catastrophic,out-of-cycle
none,controlled,MEF fail,none,scheduled
none,controlled,MEF fail,minor,scheduled
none,controlled,MEF fail,major,scheduled
none,controlled,MEF fail,hazardous,out-of-cycle
none,controlled,MEF fail,catastrophic,out-of-cycle
none,controlled,mission fail,none,out-of-cycle
none,controlled,mission fail,minor,out-of-cycle
none,controlled,mission fail,major,out-of-cycle
none,controlled,mission fail,hazardous,out-of-cycle
none,controlled,mission fail,catastrophic,out-of-cycle
none,open,none,none,defer
none,open,none,minor,scheduled
none,open,none,major,scheduled
none,open,none,hazardous,out-of-cycle
none,open,none,catastrophic,immediate
none,open,degraded,none,defer
none,open,degraded,minor,scheduled
none,open,degraded,major,scheduled
none,open,degraded,hazardous,out-of-cycle
none,open,degraded,catastrophic,immediate
none,open,MEF crippled,none,scheduled
none,open,MEF crippled,minor,scheduled
none,open,MEF crippled,major,scheduled
none,open,MEF crippled,hazardous,out-of-cycle
none,open,MEF crippled,catastrophic,immediate
none,open,MEF fail,none,scheduled
none,open,MEF fail,minor,scheduled
none,open,MEF fail,major,out-of-cycle
none,open,MEF fail,hazardous,out-of-cycle
none,open,MEF fail,catastrophic,immediate
none,open,mission fail,none,out-of-cycle
none,open,mission fail,minor,out-of-cycle
none,open,mission fail,major,out-of-cycle
none,open,mission fail,hazardous,out-of-cycle
none,open,mission fail,catastrophic,immediate
poc,small,none,none,defer
poc,small,none,minor,defer
poc,small,none,major,scheduled
poc,small,none,hazardous,scheduled
poc,small,none,catastrophic,out-of-cycle
poc,small,degraded,none,defer
poc,small,degraded,minor,defer
poc,small,degraded,major,scheduled
poc,small,degraded,hazardous,scheduled
poc,small,degraded,catastrophic,out-of-cycle
poc,small,MEF crippled,none,scheduled
poc,small,MEF crippled,minor,scheduled
poc,small,MEF crippled,major,scheduled
poc,small,MEF crippled,hazardous,out-of-cycle
poc,small,MEF crippled,catastrophic,out-of-cycle
poc,small,MEF fail,none,scheduled
poc,small,MEF fail,minor,scheduled
poc,small,MEF fail,major,scheduled
poc,small,MEF fail,hazardous,out-of-cycle
poc,small,MEF fail,catastrophic,immediate
poc,small,mission fail,none,scheduled
poc,small,mission fail,minor,scheduled
poc,small,mission fail,major,out-of-cycle
poc,small,mission fail,hazardous,out-of-cycle
poc,small,mission fail,catastrophic,immediate
poc,controlled,none,none,defer
poc,controlled,none,minor,defer
poc,controlled,none,major,scheduled
poc,controlled,none,hazardous,out-of-cycle
poc,controlled,none,catastrophic,immediate
poc,controlled,degraded,none,defer
