Supplier involvement,Exploitation,Value added,Outcome
fix ready,none,precedence,publish
fix ready,PoC,precedence,publish
fix ready,active,precedence,publish
cooperative,none,precedence,publish
cooperative,PoC,precedence,publish
cooperative,active,precedence,publish
un-coop/responsive,none,precedence,publish
un-coop/responsive,PoC,precedence,publish
un-coop/responsive,active,precedence,publish
fix ready,none,ampliative,don't publish
fix ready,PoC,ampliative,don't publish
fix ready,active,ampliative,publish
cooperative,none,ampliative,don't publish
cooperative,PoC,ampliative,don't publish
cooperative,active,ampliative,publish
un-coop/responsive,none,ampliative,don't publish
un-coop/responsive,PoC,ampliative,publish
un-coop/responsive,active,ampliative,publish
fix ready,none,limited,don't publish
fix ready,PoC,limited,don't publish
fix ready,active,limited,don't publish
cooperative,none,limited,don't publish
cooperative,PoC,limited,don't publish
cooperative,active,limited,don't publish
un-coop/responsive,none,limited,don't publish
un-coop/responsive,PoC,limited,don't publish
un-coop/responsive,active,limited,don't publish
