Public,Contacted,Credible,Cardinality,Engagement,Utility,PublicSafetyImpact,Outcome
No,Yes,Yes,one,active,laborious,minimal,decline
No,Yes,Yes,one,active,laborious,significant,decline
No,Yes,Yes,one,active,efficient,minimal,decline
No,Yes,Yes,one,active,efficient,significant,track
No,Yes,Yes,one,active,super-effective,minimal,decline
No,Yes,Yes,one,active,super-effective,significant,track
No,Yes,Yes,one,unresponsive,laborious,minimal,track
No,Yes,Yes,one,unresponsive,laborious,significant,coordinate
No,Yes,Yes,one,unresponsive,efficient,minimal,coordinate
No,Yes,Yes,one,unresponsive,efficient,significant,coordinate
No,Yes,Yes,one,unresponsive,super-effective,minimal,coordinate
No,Yes,Yes,one,unresponsive,super-effective,significant,coordinate
No,Yes,Yes,multiple,active,laborious,minimal,decline
No,Yes,Yes,multiple,active,laborious,significant,track
No,Yes,Yes,multiple,active,efficient,minimal,decline
No,Yes,Yes,multiple,active,efficient,significant,track
No,Yes,Yes,multiple,active,super-effective,minimal,coordinate
No,Yes,Yes,multiple,active,super-effective,significant,coordinate
No,Yes,Yes,multiple,unresponsive,laborious,minimal,coordinate
No,Yes,Yes,multiple,unresponsive,laborious,significant,coordinate
No,Yes,Yes,multiple,unresponsive,efficient,minimal,coordinate
No,Yes,Yes,multiple,unresponsive,efficient,significant,coordinate
No,Yes,Yes,multiple,unresponsive,super-effective,minimal,coordinate
No,Yes,Yes,multiple,unresponsive,super-effective,significant,coordinate
No,Yes,No,one,active,laborious,minimal,decline
No,Yes,No,one,active,laborious,significant,decline
No,Yes,No,one,active,efficient,minimal,decline
No,Yes,No,one,active,efficient,significant,track
No,Yes,No,one,active,super-effective,minimal,decline
No,Yes,No,one,active,super-effective,significant,track
No,Yes,No,one,unresponsive,laborious,minimal,decline
No,Yes,No,one,unresponsive,laborious,significant,decline
No,Yes,No,one,unresponsive,efficient,minimal,decline
No,Yes,No,one,unresponsive,efficient,significant,track
No,Yes,No,one,unresponsive,super-effective,minimal,decline
No,Yes,No,one,unresponsive,super-effective,significant,track
No,Yes,No,multiple,active,laborious,minimal,decline
No,Yes,No,multiple,active,laborious,significant,track
No,Yes,No,multiple,active,efficient,minimal,decline
No,Yes,No,multiple,active,efficient,significant,track
No,Yes,No,multiple,active,super-effective,minimal,track
No,Yes,No,multiple,active,super-effective,significant,coordinate
No,Yes,No,multiple,unresponsive,laborious,minimal,decline
No,Yes,No,multiple,unresponsive,laborious,significant,track
No,Yes,No,multiple,unresponsive,efficient,minimal,decline
No,Yes,No,multiple,unresponsive,efficient,significant,track
No,Yes,No,multiple,unresponsive,super-effective,minimal,track
No,Yes,No,multiple,unresponsive,super-effective,significant,coordinate
