Exploitation,Exposure,Utility,Well-being and Mission Impact,Outcome
none,small,laborious,low,defer
none,small,laborious,medium,defer
none,small,laborious,high,scheduled
none,small,laborious,very high,scheduled
none,small,efficient,low,defer
none,small,efficient,medium,scheduled
none,small,efficient,high,scheduled
none,small,efficient,very high,scheduled
none,small,super effective,low,defer
none,small,super effective,medium,scheduled
none,small,super effective,high,scheduled
none,small,super effective,very high,scheduled
none,controlled,laborious,low,defer
none,controlled,laborious,medium,scheduled
none,controlled,laborious,high,scheduled
none,controlled,laborious,very high,scheduled
none,controlled,efficient,low,defer
none,controlled,efficient,medium,scheduled
none,controlled,efficient,high,scheduled
none,controlled,efficient,very high,scheduled
none,controlled,super effective,low,scheduled
none,controlled,super effective,medium,scheduled
none,controlled,super effective,high,scheduled
none,controlled,super effective,very high,scheduled
none,open,laborious,low,defer
none,open,laborious,medium,scheduled
none,open,laborious,high,scheduled
none,open,laborious,very high,scheduled
none,open,efficient,low,scheduled
none,open,efficient,medium,scheduled
none,open,efficient,high,scheduled
none,open,efficient,very high,scheduled
none,open,super effective,low,scheduled
none,open,super effective,medium,scheduled
none,open,super effective,high,scheduled
none,open,super effective,very high,out-of-cycle
PoC,small,laborious,low,defer
PoC,small,laborious,medium,scheduled
PoC,small,laborious,high,scheduled
PoC,small,laborious,very high,scheduled
PoC,small,efficient,low,defer
PoC,small,efficient,medium,scheduled
PoC,small,efficient,high,scheduled
PoC,small,efficient,very high,scheduled
PoC,small,super effective,low,scheduled
PoC,small,super effective,medium,scheduled
PoC,small,super effective,high,scheduled
PoC,small,super effective,very high,scheduled
PoC,controlled,laborious,low,defer
PoC,controlled,laborious,medium,scheduled
PoC,controlled,laborious,high,scheduled
PoC,controlled,laborious,very high,scheduled
PoC,controlled,efficient,low,scheduled
PoC,controlled,efficient,medium,scheduled
PoC,controlled,efficient,high,scheduled
PoC,controlled,efficient,very high,scheduled
PoC,controlled,super effective,low,scheduled
PoC,controlled,super effective,medium,scheduled
PoC,controlled,super effective,high,scheduled
PoC,controlled,super effective,very high,out-of-cycle
PoC,open,laborious,low,defer
PoC,open,laborious,medium,scheduled
PoC,open,laborious,high,scheduled
PoC,open,laborious,very high,out-of-cycle
PoC,open,efficient,low,scheduled
PoC,open,efficient,medium,scheduled
PoC,open,efficient,high,scheduled
PoC,open,efficient,very high,out-of-cycle
PoC,open,super effective,low,scheduled
PoC,open,super effective,medium,scheduled
PoC,open,super effective,high,out-of-cycle
PoC,open,super effective,very high,out-of-cycle
active,small,laborious,low,scheduled
active,small,laborious,medium,scheduled
active,small,laborious,high,out-of-cycle
active,small,laborious,very high,out-of-cycle
active,small,efficient,low,scheduled
active,small,efficient,medium,scheduled
active,small,efficient,high,out-of-cycle
active,small,efficient,very high,out-of-cycle
active,small,super effective,low,scheduled
active,small,super effective,medium,scheduled
active,small,super effective,high,out-of-cycle
active,small,super effective,very high,out-of-cycle
active,controlled,laborious,low,scheduled
active,controlled,laborious,medium,scheduled
active,controlled,laborious,high,out-of-cycle
active,controlled,laborious,very high,out-of-cycle
active,controlled,efficient,low,scheduled
active,controlled,efficient,medium,scheduled
active,controlled,efficient,high,out-of-cycle
active,controlled,efficient,very high,out-of-cycle
active,controlled,super effective,low,scheduled
active,controlled,super effective,medium,out-of-cycle
active,controlled,super effective,high,out-of-cycle
active,controlled,super effective,very high,out-of-cycle
active,open,laborious,low,scheduled
active,open,laborious,medium,scheduled
active,open,laborious,high,out-of-cycle
active,open,laborious,very high,immediate
active,open,efficient,low,scheduled
active,open,efficient,medium,out-of-cycle
active,open,efficient,high,immediate
active,open,efficient,very high,immediate
active,open,super effective,low,out-of-cycle
active,open,super effective,medium,out-of-cycle
active,open,super effective,high,immediate
active,open,super effective,very high,immediate
