In KEV v1.0.0 (cisa),Exploitation v1.1.0,System Exposure v1.0.1,High Value Asset v1.0.0,CISA Levels v1.1.0 (cisa)
no,none,small,no,track
yes,none,small,no,track
no,public poc,small,no,track
no,none,controlled,no,track
no,none,small,yes,track
yes,public poc,small,no,track
no,active,small,no,track
yes,none,controlled,no,track
no,public poc,controlled,no,track
no,none,open,no,track*
yes,none,small,yes,track*
no,public poc,small,yes,track*
no,none,controlled,yes,track*
yes,active,small,no,track*
yes,public poc,controlled,no,track*
no,active,controlled,no,track*
yes,none,open,no,track*
no,public poc,open,no,track*
yes,public poc,small,yes,attend
no,active,small,yes,attend
yes,none,controlled,yes,attend
no,public poc,controlled,yes,attend
no,none,open,yes,attend
yes,active,controlled,no,attend
yes,public poc,open,no,attend
no,active,open,no,attend
yes,active,small,yes,attend
yes,public poc,controlled,yes,act
no,active,controlled,yes,act
yes,none,open,yes,act
no,public poc,open,yes,act
yes,active,open,no,act
yes,active,controlled,yes,act
yes,public poc,open,yes,act
no,active,open,yes,act
yes,active,open,yes,act
