CVE	Vulnerability	CVSS (v3.x Base Score)	SSVC	Exploit	Technical	Virulence	Mission/WB
CVE-2020-7961	Liferay Portal	9.8	Track	PoC	Total	Rapid	Low (Minimal/Minimal)
CVE-2020-5735	Amcrest Camera and NVR	8.8	Track	PoC	Partial	Rapid	Low (Minimal/Minimal)
CVE-2019-20085	Shenzhen TVT NVMS-1000	7.5	Track	PoC	Partial	Rapid	Low (Minimal/Minimal)
CVE-2020-0968	Internet Explorer Scripting Engine Memory Corruption Vulnerability	7	Track	None	Total	Rapid	Medium (Support/Material)
CVE-2020-10882	TP-Link Archer A7/C7 - Unauthenticated LAN Remote Code Execution	8.8	Track	PoC	Total	Rapid	Low (Minimal/Minimal)
CVE-2020-10883	TP-Link Archer A7/C7 - Unauthenticated LAN Remote Code Execution	8.8	Track	PoC	Total	Rapid	Low (Minimal/Minimal)
CVE-2020-10884	TP-Link Archer A7/C7 - Unauthenticated LAN Remote Code Execution	8.8	Track	PoC	Total	Rapid	Low (Minimal/Minimal)
CVE-2020-10199	Nexus Repository Manager (NXRM)	       3   8.8	Track	PoC	Total	Rapid	Low (Minimal/Minimal)
CVE-2018-20062	ThinkPHP before 3.2.4	9.8	Track	PoC	Total	Rapid	Low (Minimal/Minimal)
CVE-2020-8644	PlaySMS before 1.4.3	9.8	Track	PoC	Total	Rapid	Low (Minimal/Minimal)
CVE-2019-17558	Apache Solr 5.0.0-8.3.1	7.5	Track	PoC	Total	Rapid	Low (Minimal/Minimal)
CVE-2017-9822	DotNetNuke (DNN) before 9.1.1	8.8	Track	PoC	Total	Rapid	Low (Minimal/Minimal)
CVE-2018-15811	DotNetNuke (DNN) 9.2-9.2.2	7.5	Track	PoC	Partial	Rapid	Low (Minimal/Minimal)
CVE-2018-15812	DotNetNuke (DNN) 9.2-9.2.2	7.5	Track	PoC	Partial	Rapid	Low (Minimal/Minimal)
CVE-2020-3161	Cisco IP Phone DoS and RCE	TBD	Track	PoC	Total	Rapid	Low (Minimal/Minimal)
CVE-2020-5849	Unraid 6.8.0 Authentication Bypass	7.5	Track	PoC	Partial	Rapid	Low (Minimal/Minimal)
CVE-2020-5847	Unraid 6.8.0 Remote Code Execution	9.8	Track	PoC	Total	Rapid	Low (Minimal/Minimal)
CVE-2020-0674	IE 9-11 Scripting Engine Memory Corruption Vulnerability	7.5	High	Active	Total	Slow	Medium (Support/Minimal)
CVE-2020-0796	SMBv3 Compression Vulnerability ("SMBGhost" or "EternalBlue")	9.8	High	PoC	Partial	Rapid	Essential (High/Material)
CVE-2019-0708	Windows Remote Desktop RCE Vulnerability	9.8	High	PoC	Slow	Total	Essential (High/Material)
CVE-2019-0211	Carpe Diem Apache vulnerability	7.8	Track	Active	Rapid	Total	Essential (High/Material)
