Row	Exploitation	Virulence	Technical	Mission & Well-being	Decision
1	none	slow	partial	low	Track
2	none	slow	partial	medium	Track
3	none	slow	partial	high	Track
4	none	slow	total	low	Track
5	none	slow	total	medium	Track
6	none	slow	total	high	Track*
7	none	rapid	partial	low	Track
8	none	rapid	partial	medium	Track
9	none	rapid	partial	high	High
10	none	rapid	total	low	Track
11	none	rapid	total	medium	Track
12	none	rapid	total	high	High
13	poc	slow	partial	low	Track
14	poc	slow	partial	medium	Track
15	poc	slow	partial	high	Track*
16	poc	slow	total	low	Track
17	poc	slow	total	medium	Track*
18	poc	slow	total	high	High
19	poc	rapid	partial	low	Track
20	poc	rapid	partial	medium	Track
21	poc	rapid	partial	high	High
22	poc	rapid	total	low	Track
23	poc	rapid	total	medium	Track*
24	poc	rapid	total	high	High
25	active	slow	partial	low	Track
26	active	slow	partial	medium	Track
27	active	slow	partial	high	High
28	active	slow	total	low	Track
29	active	slow	total	medium	High
30	active	slow	total	high	Critical
31	active	rapid	partial	low	High
32	active	rapid	partial	medium	High
33	active	rapid	partial	high	Critical
34	active	rapid	total	low	High
35	active	rapid	total	medium	Critical
36	active	rapid	total	high	Critical
